DepartmentCode,Carrier
1454,COASTAL
50,CMA
SZH,NULL
SWA,NULL
928,ANL
1836,APL
964,CNC
924,ANL
916,ANL
1397,COASTAL
901,ANL
393,CMA
968,ANL
2038,COASTAL
965,CNC
69,CMA
413,CMA
215,CMA
1152,ANL
1399,COASTAL
1144,CNC
NGP,NULL
142,CMA
QGD,NULL
403,CMA
1387,CNC
923,ANL
421,CMA
401,CMA
406,CMA
ZSN,NULL
902,ANL
1396,COASTAL
1400,COASTAL
912,ANL
1125,ANL
1250,CNC
905,ANL
937,ANL
1831,APL
2090,APL
915,ANL
1838,APL
1241,CNC
1247,CNC
899,ANL
1824,APL
417,CMA
1841,APL
900,ANL
1477,COASTAL
930,ANL
1832,APL
BJG,NULL
903,ANL
972,CNC
418,CMA
USH,NULL
409,CMA
919,ANL
LYG,NULL
922,ANL
898,ANL
909,ANL
913,ANL
176,CMA
1255,COASTAL
2099,CNC
933,ANL
1833,APL
UWY,NULL
1013,ANL
929,ANL
412,CMA
214,CMA
1893,APL
251,CMA
906,ANL
1840,APL
198,CMA
400,CMA
419,CMA
908,ANL
1253,CNC
728,CMA
HKG,NULL
1842,APL
926,ANL
961,ANL
2039,COASTAL
317,CMA
1132,CNC
414,CMA
442,CMA
1244,CNC
411,CMA
CAN,NULL
TJN,NULL
293,CMA
1113,ANL
932,ANL
SZX,NULL
1827,APL
907,ANL
404,CMA
1835,APL
1128,ANL
934,ANL
395,CMA
2041,COASTAL
1251,CNC
917,ANL
83,CMA
1389,CNC
1772,APL
1825,APL
405,CMA
SHG,NULL
936,ANL
2040,COASTAL
XMN,NULL
1834,APL
407,CMA
1620,COASTAL
920,ANL
2037,COASTAL
394,CMA
165,CMA
992,ANL
408,CMA
1828,APL
1826,APL
92,CMA
1249,CNC
DLN,NULL
397,CMA
1246,CNC
211,CMA
398,CMA
402,CMA
JNG,NULL
1839,APL
852,ANL
1245,CNC
2031,CNC
1256,COASTAL
62,CMA
1398,COASTAL
410,CMA
FOC,NULL
931,ANL
1248,CNC
967,CNC
WHU,NULL
1114,ANL
396,CMA
927,ANL
74,CMA
1837,APL
399,CMA
